OBJECTID,EVALUATION_YEAR,EVALUATION_DATE,YEAR_OF_HARVEST,STREAM_NAME,STREAM_CLASS_IN_FIELD,CHANNEL_DEPTH,CHANNEL_WIDTH,CHANNEL_GRADIENT_PCT,bcalbers_easting,bcalbers_northing
72,2006,2006-09-06,2001,S6,S6,,1.5,18,1004976.523,1129963.879
73,2006,2006-08-16,2001,R1,S4,,0.5,1,967172.4938,1210883.823
74,2006,2006-06-29,2003,BARBARA ANNE CR,S2,,4,2,1068407.295,1110550.483
75,2006,2006-07-05,2003,R1,S4,,0.5,1,1062432.609,1058323.285
76,2006,2006-09-06,2001,S6,S6,,0.8,24,1006161.369,1128027.995
77,2006,2006-07-15,1999,UNKNOWN,S6,,0.8,30,1584923.187,553636.8113
78,2006,2006-06-21,2001,AXE CREEK,S3,,0,0,1360525.505,626363.4661
79,2006,2006-08-02,2000,GEORGES CRK,S3,,2.5,8,1427555.718,632508.3278
80,2006,2006-08-24,1999,S6-115,S6,0,3,10,1392345.932,739590.8678
81,2006,2006-10-06,2003,S6-8.1,S6,,1,5,1444851.613,726718.3055
82,2006,2006-07-26,2000,NEAR MOSSEY CRK,S6,,1,8,1417961.197,674189.7898
83,2006,2006-07-06,2001,S3-14 NEAR DARLINGTON,S3,0,1.5,2,1399161.332,719332.7434
84,2006,2006-08-01,2001,WENTWORTH CREEK,S6,,1,6,1395186,682086
85,2006,2006-08-22,2000,N/A,S6,,1,10,824278.7636,1188879.667
86,2006,2006-06-20,2000,STREAM 3,S6,,1,10,822449.7288,1102807.055
87,2006,2006-08-16,2000,3,S6,,1.4,4,821698.1409,1114420.318
88,2006,2006-07-11,2002,STREAM #1,S5,,3,30,863831.9536,1018986.269
89,2006,2006-07-05,2002,54-81 NEAR DARLINGTON,S4,,0.6,3,1397723.092,718072.1384
90,2006,2006-06-01,2001,14-R2,S5,,3.6,7,840970.7607,1026967.718
91,2006,2006-07-15,2001,3,S6,,0.6,8,808146.1143,1122448.161
92,2006,2006-06-08,2002,#4,S6,,0.3,15,820360.4102,1179668.834
93,2006,2006-08-17,2002,ID #1 NEAR MAIDEN CRK,S6,,0.3,3,1310892.697,672085.3927
94,2006,2006-08-22,2001,S6-1,S6,0,1.5,10,1437145.335,727980.7914
95,2006,2006-06-09,2000,S1,S6,,1,40,1636412.125,525686.6875
96,2006,2006-06-06,,STREAM #4,S6,,0.1,0,772334,1105399
97,2006,2006-08-03,1998,UNKNOWN,S4,,1.2,2,1318270.999,768313.868
98,2006,2006-07-13,2000,UNNAMED,S4,,3,30,1678625.156,527915.8412
99,2006,2006-08-15,2001,UNKNOWN,S4,,0.5,7,1341796.218,676661.3675
100,2006,2006-10-12,2003,UNKNOWN,S6,,0.3,5,1365434.084,748987.305
101,2006,2006-07-27,2002,UNNAMED,S6,,0.6,20,1707398.331,498996.8787
102,2006,2006-09-13,2003,UNKNOWN,S4,,0.8,6,1363518.2,713821.34
103,2006,2006-07-13,2000,NOT NAMED,S6,,0.9,12,809488.625,1239845.875
104,2006,2006-10-04,2003,UNKNOWN,S6,,0.8,20,1371924.016,752047.7504
105,2006,2006-10-15,2001,UNKNOWN,S6,,0.6,15,1354955.509,759397.081
106,2006,2006-08-14,1999,1,S5,,3.2,6,878671.8051,1056204.739
107,2006,2006-08-10,2002,UNKNOWN,S4,,1.1,3,1325604.563,693435.3125
108,2006,2006-10-18,2002,UNKNOWN,S3,,1.8,2,1368969.374,789250.1543
