"land_classification","thlb_area"
"FALB",56203480
"Protected and Prohibited",43004870
"Protected, Prohibited, High Restricted",40978778
"Slope > 40 interior, > 60 coast",36053077
"VRI site index < 8 interior, < 15 coast",29454270
